port,total_calls,total_volume_mt,months,calls,volume_mt,calls_yoy,volume_yoy,prev_calls,prev_volume,last_month,calls_mom,volume_mom
Indonesia - Offshore Oil Terminal 1,160,784596,92,2.0,9476.0,inf,inf,2.0,41708.0,2026-08,0.0,-77.28013810300183
Ende,858,775387,92,10.0,7446.0,42.85714285714286,97.14058776806989,7.0,3278.0,2026-08,42.85714285714286,127.15070164734593
Indonesia - Offshore Oil Terminal 3,16,606936,92,0.0,0.0,,,2.0,0.0,2026-08,-100.0,
Indonesia - Offshore Oil Terminal 6,114,486576,92,4.0,162192.0,inf,inf,6.0,13118.0,2026-08,-33.333333333333336,1136.407989022717
Bula,310,456755,92,1.0,231.0,-66.66666666666667,-95.82202930005425,2.0,2226.0,2026-08,-50.0,-89.62264150943396
Pulau Bunyu,54,388840,92,0.0,0.0,-100.0,,2.0,0.0,2026-08,-100.0,
Indonesia - Offshore Oil Terminal 7,34,351148,92,0.0,0.0,,,0.0,0.0,2026-08,,
Sabang,33,93194,92,0.0,0.0,,,2.0,0.0,2026-08,-100.0,
Indonesia - Offshore Oil Terminal 4,22,5760,92,0.0,0.0,,,0.0,0.0,2026-08,,
Indonesia - Offshore Oil Terminal 8,2,0,92,0.0,0.0,,,0.0,0.0,2026-08,,
Indonesia - Offshore Oil Terminal 2,4,0,92,0.0,0.0,,,0.0,0.0,2026-08,,
Indonesia - Offshore Oil Terminal 14,0,0,92,0.0,0.0,,,0.0,0.0,2026-08,,
Muntok,11,0,92,0.0,0.0,,,0.0,0.0,2026-08,,
