month,consumption_index
2021-09,-0.3870548842063495
2021-10,0.10474039645810798
2021-11,0.08803425398837264
2021-12,0.870857237077925
2022-01,0.7760281587142137
2022-02,0.09808218645526987
2022-03,0.3800849459197713
2022-04,1.0981769212628576
2022-05,1.2710673661376743
2022-06,0.5795340327361618
2022-07,0.28254290560238543
2022-08,-0.2022328099011727
2022-09,-0.10174803628596026
2022-10,-0.09515132310700763
2022-11,-0.16183039546802186
2022-12,0.5300430267344662
2023-01,1.1437416961744795
2023-02,0.12878302008631914
2023-03,0.07586995733171502
2023-04,0.8293358251867241
2023-05,0.1399702770424111
2023-06,0.3027021738063782
2023-07,0.0797030065326878
2023-08,-0.49084782956277406
2023-09,-0.31064915179352204
2023-10,-0.26983383846599407
2023-11,-0.3999466684526425
2023-12,0.7781947064583434
2024-01,0.29280699389654585
2024-02,-0.6277170570825028
2024-03,-0.207387617153377
2024-04,0.07081702509401785
2024-05,-0.488350329448174
2024-06,-0.6117534056956685
2024-07,-0.5347827158195876
2024-08,-0.9430013343296304
2024-09,-0.7712074080976532
2024-10,-0.8309829520935303
2024-11,-0.6430674738980274
2024-12,0.4281178578377588
2025-01,0.30102289854465686
2025-02,-0.6951350807659755
2025-03,-0.04267163400174747
2025-04,-0.2651201533172616
2025-05,-0.6172879886907658
2025-06,-0.5319055904254012
2025-07,-0.621319564736289
2025-08,-0.9311348668919592
2025-09,-0.9866730529586248
2025-10,-0.7329915953075935
2025-11,-0.4312934667449104
2025-12,0.49374584015225104
2026-01,0.15339594977060866
2026-02,-0.3535101987959045
2026-03,0.5279657754278271
2026-04,0.0003621638678007839
2026-05,0.1203190712330466
2026-06,0.5078430474668845
2026-07,0.45365907640917624
2026-08,0.4960294588925301
2026-09,0.5865976107225715
