dow,avg_daily_calls
Monday,1.3736125598438043
Tuesday,1.3015394466529708
Wednesday,1.3021077908217715
Thursday,1.2880813255423036
Friday,1.2781335040819592
Saturday,1.2628045681885047
Sunday,1.161335187760779
