month,container,dry_bulk,general_cargo,roro,tanker,cargo
2019-01,0.16930775646371976,0.0884070058381985,0.12093411175979983,0.018765638031693076,0.20517097581317764,0.39741451209341117
2019-02,0.16338500209467952,0.0831587767071638,0.13028906577293675,0.019689987431922917,0.20695433598659405,0.39652283200670296
2019-03,0.1782312925170068,0.08493683187560738,0.12730806608357628,0.019436345966958212,0.18017492711370262,0.4099125364431487
2019-04,0.1746062609371962,0.07777561734396267,0.13455181800505542,0.018471709119191132,0.1891891891891892,0.40540540540540543
2019-05,0.1720139157325087,0.07692307692307693,0.12852725164282952,0.02183996907614998,0.20139157325086973,0.3993042133745651
2019-06,0.1675050301810865,0.08073440643863179,0.11619718309859155,0.018108651911468814,0.23490945674044267,0.3825452716297787
2019-07,0.17312610662994296,0.08518591383041511,0.11292543773362188,0.021247294904583908,0.2150304938028723,0.39248475309856384
2019-08,0.1653831343858298,0.09260685406237967,0.11917597227570273,0.019638043896804003,0.20639199075856757,0.3968040046207162
2019-09,0.16574480259393476,0.09403013541865345,0.12035094411596414,0.019835971771886323,0.20007629219912265,0.3999618539004387
2019-10,0.16537037037037036,0.08851851851851852,0.11611111111111111,0.021666666666666667,0.21666666666666667,0.39166666666666666
2019-11,0.171766472686315,0.08578937488267317,0.11807771728928101,0.016895062887178524,0.21494274450910456,0.3925286277454477
2019-12,0.1663135593220339,0.0847457627118644,0.12341101694915255,0.01606638418079096,0.2189265536723164,0.3905367231638418
2020-01,0.1756781358092117,0.07991989805206627,0.12324776988894957,0.017840888403422538,0.2066266156926998,0.3966866921536501
2020-02,0.16744621141253507,0.08082319925163704,0.13077642656688493,0.016651075771749298,0.20860617399438727,0.39569691300280635
2020-03,0.16369614120089981,0.07977158677971967,0.14362346426717426,0.016784910884236028,0.19224779373594048,0.40387610313202976
2020-04,0.1716611172770995,0.08361080281169071,0.1320754716981132,0.010543840177580466,0.20421753607103219,0.3978912319644839
2020-05,0.16568527918781725,0.08467005076142133,0.1319796954314721,0.009746192893401015,0.21583756345177665,0.3920812182741117
2020-06,0.17404697728147864,0.07739699653446284,0.14131690412013861,0.012706969580284944,0.18906430496726992,0.40546784751636505
2020-07,0.18419047619047618,0.07123809523809524,0.12571428571428572,0.01657142857142857,0.20457142857142857,0.3977142857142857
2020-08,0.18070528046775078,0.07911565868810524,0.12278457884158597,0.01918509044399781,0.1964187831171204,0.4017906084414398
2020-09,0.17341040462427745,0.07682267387656162,0.1335073652806265,0.021256759276524335,0.19000559388402014,0.4049972030579899
2020-10,0.17785172860048068,0.07542983915696062,0.13200221852468108,0.01756332039193936,0.1943057866518765,0.40284710667406176
2020-11,0.1692156862745098,0.0780392156862745,0.13568627450980392,0.01568627450980392,0.2027450980392157,0.39862745098039215
2020-12,0.1655898098578549,0.08621007937973048,0.13531474986154698,0.017168174266199,0.19143437326933727,0.40428281336533134
2021-01,0.17177344475394615,0.07799442896935933,0.13574744661095636,0.013741875580315692,0.20148560817084493,0.39925719591457753
2021-02,0.1724,0.0778,0.1388,0.0132,0.1956,0.4022
2021-03,0.17336860670194004,0.07195767195767196,0.14603174603174604,0.012874779541446208,0.19153439153439153,0.4042328042328042
2021-04,0.1771831495208823,0.07557403724462122,0.13541854999096004,0.011751943590670765,0.20014463930573134,0.39992768034713433
2021-05,0.17357156881994895,0.07520125662674258,0.13430198311407815,0.009621048497938347,0.21460828588258393,0.392695857058708
2021-06,0.17654735272184938,0.07568978374347501,0.13777032065622669,0.013609246830723341,0.19276659209545116,0.40361670395227445
2021-07,0.17347696879643387,0.08413818722139674,0.13150074294205052,0.011701337295690936,0.19836552748885586,0.4008172362555721
2021-08,0.16790516631280963,0.08014861995753715,0.13075017692852087,0.012738853503184714,0.21691436659589525,0.3915428167020524
2021-09,0.16002245929253228,0.08665543702040053,0.13756316676024705,0.01291409320606401,0.20568968744151225,0.39715515627924386
2021-10,0.1612225405921681,0.08939828080229226,0.135243553008596,0.009742120343839542,0.2087870105062082,0.3956064947468959
2021-11,0.15984015984015984,0.07509157509157509,0.14352314352314352,0.011655011655011656,0.21978021978021978,0.3901098901098901
2021-12,0.1579433497536946,0.07481527093596059,0.14254926108374386,0.01293103448275862,0.22352216748768472,0.38823891625615764
2022-01,0.15942272193321028,0.07350226548078537,0.14113106225876826,0.01325725792918275,0.22537338479610672,0.38731330760194665
2022-02,0.16799132947976878,0.07658959537572255,0.13385115606936415,0.012283236994219654,0.21856936416184972,0.39071531791907516
2022-03,0.1647002551020408,0.07828443877551021,0.13807397959183673,0.01211734693877551,0.21364795918367346,0.39317602040816324
2022-04,0.16005971139492453,0.07314645878255101,0.14115110300215625,0.012937468900315144,0.22541051584010616,0.3872947420799469
