month,container,dry_bulk,general_cargo,roro,tanker,cargo
2019-01,0.1251761268889205,0.23118499199729015,0.023848985553967705,0.0008780952627176079,0.23781713722213765,0.3810946630749664
2019-02,0.1104258218107169,0.23527766375302944,0.0328384520406955,0.0011306181430775712,0.2406481337066395,0.3796793105458411
2019-03,0.1430019509931945,0.2177070860929712,0.028134565269700686,0.0007962248173592995,0.2207131394062301,0.3896470334205442
2019-04,0.157540540024589,0.19897009352638853,0.040759494032068425,0.0008777418989076393,0.2036966521279908,0.3981554783900556
2019-05,0.11731062581751804,0.21489099712694285,0.036540897037596914,0.0009786342178889026,0.26055102084953624,0.3697278249505171
2019-06,0.13903866143818575,0.20776323370467037,0.029476642189132075,0.0007635520025703699,0.2459097457388401,0.3770481649266013
2019-07,0.13548886347491826,0.20921230685522266,0.03466105096284802,0.0011996513695835076,0.23886926863182714,0.3805688587056004
2019-08,0.14292575033436344,0.2073099227511366,0.03637683962420133,0.000699849859488155,0.2253685361841968,0.3873191012466136
2019-09,0.12379040014706899,0.24724231417614356,0.03147156492341262,0.0007191724462950205,0.19354640017360206,0.40323014813347774
2019-10,0.1302356086798867,0.20954558078247074,0.03842899343332902,0.0012757250860358006,0.2410205170903419,0.37949357492793584
2019-11,0.15040432776252158,0.20460819100159297,0.029959185818564407,0.0009616130352301034,0.22812679541068792,0.385939886971403
2019-12,0.14234205201058678,0.21565262081729436,0.02982826545937357,0.0009202187915525436,0.22250608395022906,0.3887507589709637
2020-01,0.14529597021405466,0.20565246039061968,0.03504982217053082,0.0008161432415663507,0.2263643712353134,0.3868212327479151
2020-02,0.09306594860099496,0.2581282550311373,0.034760745711859886,0.0011340074271442115,0.22581537049827471,0.3870956727305889
2020-03,0.13592726113954096,0.2230883387724876,0.0387586095059603,0.0005692850463513162,0.2033062926778535,0.3983502128578063
2020-04,0.13454108854217886,0.24594029343076515,0.03104862441979105,0.0005708574203069678,0.17579296127546773,0.41210617491149026
2020-05,0.09866033714379298,0.27157709809045605,0.03330030892391674,0.00031604374552523184,0.19228704378370404,0.403859168312605
2020-06,0.11598153345147841,0.2461113741159663,0.042522767513016736,0.000744706821294815,0.18927274235941946,0.4053668757388243
2020-07,0.11436753497681981,0.23213378160244,0.030489669218458273,0.0007614847834482172,0.2444884868946067,0.377759042524227
2020-08,0.11468399704771091,0.2715624516622,0.027888154472740886,0.0005974164368816049,0.17052901562628325,0.41473896475418337
2020-09,0.11341519699838627,0.25974541235046283,0.030570440159474903,0.0011460059087846735,0.19023882141766216,0.40488412316522915
2020-10,0.1096558397576601,0.2530205422402362,0.032426164167497176,0.0007513506831976391,0.20828553750977163,0.39586056564163724
2020-11,0.10797298024163382,0.25810682397802454,0.03047181846734125,0.0009269965471091948,0.20503570054695636,0.3974856802189348
2020-12,0.11791148388249247,0.2538442371665331,0.030387687231770627,0.0005217092769985892,0.1946635043730864,0.4026713780691188
2021-01,0.12417019747684648,0.25080142403372896,0.03200389994840392,0.00041396929810546916,0.18521443422442274,0.4073960750184924
2021-02,0.10746352398973764,0.25255892179566,0.03940605482712748,0.00047676198306955054,0.20018403999394446,0.39991069741046087
2021-03,0.1128111133338981,0.2514183811798526,0.0408298735115734,0.0003741607146073058,0.18912611595627385,0.4054403553037948
2021-04,0.12252173188715389,0.23939849458921075,0.03701030309976206,0.0007478103386619347,0.20063730357419696,0.3996843565110144
2021-05,0.12210607922930568,0.26362896715525064,0.0303693683512876,0.0004906269091335007,0.1668047829056737,0.4166001754493489
2021-06,0.13360639543102032,0.2403119734914393,0.03590980881035477,0.0014074300524950093,0.1775208491842097,0.4112435430304809
2021-07,0.12481771339304304,0.26252667297517995,0.02781564396426841,0.001128602758707888,0.16741628036264408,0.41629508654615666
2021-08,0.11972169211409595,0.24206275708218167,0.035935604962080765,0.000688655400330854,0.20317650300608575,0.398414787435225
2021-09,0.11361559668192278,0.24425855698164883,0.03648472727467407,0.0009510048384405922,0.20937299371982304,0.39531712050349066
2021-10,0.10060845868229963,0.27412682432534036,0.0335282056541763,0.0009561107998620651,0.1815536678397307,0.40922673269859094
2021-11,0.10635298513373462,0.22045309860084708,0.0375300734140398,0.0005690794540565998,0.27018261464170285,0.36491214875561906
2021-12,0.11802093756066964,0.23036477286115134,0.03437158279529212,0.0011094904883826794,0.23225957398087443,0.38387364231362975
2022-01,0.0992637043919324,0.2529781189974042,0.030716762828187534,0.0009754982678961294,0.23212620344703094,0.38393971206754884
2022-02,0.10172330535179908,0.2536893812953165,0.03670343868764927,0.0009561327312990508,0.21384967573242955,0.3930780662015066
2022-03,0.0987236513868343,0.271280910017529,0.031003041057147303,0.0008986013230508028,0.1961813226373073,0.4019124735781313
2022-04,0.10301082589663114,0.25603320617214503,0.035861896705041175,0.0007737490561763205,0.20863475641435483,0.3956855657556515
2022-05,0.12494314880921997,0.2363957728550953,0.03357656104533206,0.0008703767643490286,0.20842186479467775,0.39579227573132586
2022-06,0.11237428076714129,0.23087179408229422,0.03596076820495667,0.0008554867667218797,0.23986886734951654,0.3800688028293694
2022-07,0.10401931659324838,0.25081646125491897,0.035841042992995856,0.0007926878891801245,0.21705475030798907,0.3914757409616676
2022-08,0.1061615257882114,0.23066059549824672,0.03552683398741279,0.0006498970356193765,0.25399563764937005,0.3730055100411397
2022-09,0.10037881801642284,0.25264156370445057,0.03711678791639965,0.0009665139532427854,0.21778564088765703,0.3911106755218271
2022-10,0.11423688573409167,0.18088332220982553,0.03995930933209926,0.0012338703898817271,0.32736573672829605,0.33632087560580576
2022-11,0.11535711775254001,0.22007798241767124,0.0343642862041812,0.0010636708425954412,0.2582676246610218,0.3708693181219903
2022-12,0.10734632641102287,0.23341220095326584,0.034937766908862376,0.0010860329881534569,0.2464291428786492,0.37678852986004624
2023-01,0.10707612397511579,0.23949285623098446,0.03689873206871295,0.0008610395417548996,0.2313362852195792,0.3843349629638527
2023-02,0.09480213587413432,0.21890658618473352,0.03830370747678175,0.0008060416150070293,0.294356704244023,0.3528248246053204
2023-03,0.1165950682474702,0.23088841188083234,0.03944060565140567,0.0009984560073373542,0.22414818889923702,0.3879292693137174
2023-04,0.11010987736469947,0.22234697602038453,0.03160098009645369,0.0010867463709372594,0.269704458025962,0.36515096212156306
2023-05,0.13293923699366478,0.22263920459617123,0.04111180471598636,0.000909646697577446,0.20479354133870423,0.3976065656578959
