month,top5_calls,top10_calls,top5_vol,top10_vol
2019-01-01,0.48304498269896196,0.6626297577854672,0.4816215210599728,0.7266312094882786
2019-02-01,0.4751822283929191,0.6397084345713294,0.46477787967623835,0.7111238639022546
2019-03-01,0.4268774703557312,0.6627140974967062,0.46933392609031166,0.7244188856903702
2019-04-01,0.41792020928711576,0.6471550032701112,0.4481169680746975,0.6954111660495803
2019-05-01,0.4691119691119691,0.6634491634491635,0.45092374763967086,0.7282988197725779
2019-06-01,0.4325865580448065,0.6525458248472505,0.4369711366233275,0.7084333067945198
2019-07-01,0.43102331606217614,0.6460492227979274,0.47133301077244155,0.7227871927755656
2019-08-01,0.3364187679540377,0.6032556654963294,0.4298714839870808,0.6824749580087449
2019-09-01,0.4761602034329307,0.647488874761602,0.472445454239824,0.7246481435569981
2019-10-01,0.35190258751902587,0.6082191780821918,0.4683522187311793,0.6955718727286319
2019-11-01,0.46291718170580964,0.6149567367119901,0.45629340900349447,0.704692987764771
2019-12-01,0.4556778679026651,0.6297798377752027,0.4432282697631608,0.6973528074922127
2020-01-01,0.4140012070006035,0.6228123114061557,0.45250054006667995,0.6806115017280044
2020-02-01,0.3204334365325077,0.634984520123839,0.4414018318029126,0.6852433600443851
2020-03-01,0.427866473149492,0.6447024673439767,0.4622195530243391,0.6992493422984026
2020-04-01,0.4291858678955453,0.6430107526881721,0.44920400450964526,0.7227257377973749
2020-05-01,0.3921175684702739,0.6649966599866399,0.4733023647890349,0.7389625665491266
2020-06-01,0.5527849740932642,0.6602979274611399,0.44412332782363956,0.7077617093507214
2020-07-01,0.4209361163820367,0.6650853889943074,0.4174310499427576,0.6811513099588941
2020-08-01,0.42089187538179595,0.6496640195479536,0.4190901907304492,0.6827973599498172
2020-09-01,0.42431839548730804,0.6584142901911626,0.4196612073006891,0.7061986247797849
2020-10-01,0.4151702786377709,0.6557275541795665,0.4251140527859141,0.7105069197308446
2020-11-01,0.4313661558526247,0.6690577111183567,0.4365608060283182,0.7153057469561651
2020-12-01,0.4428261543229005,0.6296870158041524,0.44468589440557266,0.7021439373102285
2021-01-01,0.444822256568779,0.6497681607418856,0.44371614119786007,0.7120612410752775
2021-02-01,0.45466711274673804,0.6590833054533288,0.4500278414708975,0.691236378769032
2021-03-01,0.4621077560686797,0.6888691533451746,0.4640759220563298,0.7250245294955202
2021-04-01,0.46218740584513407,0.6917746309129256,0.47793529961877673,0.7303284586485963
2021-05-01,0.4494018752020692,0.68606530876172,0.468063362900666,0.7464092367859302
2021-06-01,0.45201625507971244,0.670834635823695,0.4554228136963371,0.7167655126468228
2021-07-01,0.5585864848109113,0.6646001239925604,0.46528135043333463,0.714290832055316
2021-08-01,0.44489677231753416,0.6734515847630125,0.46544235579475196,0.7018169553722544
2021-09-01,0.42036634585532445,0.6631480906550761,0.4275558403122433,0.7053522049301895
2021-10-01,0.4450063211125158,0.6346396965865992,0.4329076647085157,0.6869001741105902
2021-11-01,0.31613431613431614,0.6137046137046137,0.43088190355041933,0.6814132990092009
2021-12-01,0.3233517866129844,0.6089582284851535,0.441955453095719,0.6806483075004691
2022-01-01,0.34593262119967133,0.5949055053410025,0.4612291484560483,0.694302151236819
2022-02-01,0.3456863326415654,0.6237770530684851,0.4589295276234034,0.6993879818623568
2022-03-01,0.43825538623226484,0.6347871781397793,0.467622730592423,0.7059452395309042
2022-04-01,0.4296155928532756,0.6358960476448294,0.43840931857432297,0.6903591205825659
2022-05-01,0.3313899969315741,0.5876035593740411,0.47047226412434984,0.7130443795942498
2022-06-01,0.35467706013363026,0.6302895322939867,0.45331956731095646,0.6986165071651463
2022-07-01,0.35921325051759834,0.6216356107660456,0.4543340616947241,0.6797881205597909
2022-08-01,0.3405905905905906,0.6308808808808809,0.46262452297575546,0.6903126048727108
2022-09-01,0.31237574552683894,0.6046222664015904,0.44023154415873506,0.6740515642830639
2022-10-01,0.30417259364627786,0.5827406353722143,0.43070174941420986,0.6775811254764925
2022-11-01,0.32520120724346074,0.6051307847082495,0.46652620165993514,0.6960423087612255
2022-12-01,0.3118067537589352,0.6068523539561252,0.4290257696341703,0.6661122499073966
2023-01-01,0.41826803094584475,0.6064387322186174,0.4187810041107523,0.6556707098292064
2023-02-01,0.30604499864461915,0.5966386554621849,0.4174842001483678,0.6542908915390095
2023-03-01,0.30835734870317005,0.6186359269932757,0.4673853655503854,0.6886084026434036
2023-04-01,0.2969407802413696,0.5899522873982599,0.4454169261263941,0.7026078894126816
2023-05-01,0.3068702290076336,0.6417302798982188,0.45090027600345817,0.6814229119788293
2023-06-01,0.32916145181476847,0.660575719649562,0.48761505840315106,0.7006344589353649
2023-07-01,0.31749820959656244,0.6158987825256624,0.44135344299065893,0.7117058954100616
2023-08-01,0.32727272727272727,0.6458087367178277,0.457465671468962,0.6943677567523231
2023-09-01,0.3075242718446602,0.6138349514563107,0.43780719626906384,0.6861885858878221
2023-10-01,0.30679702048417135,0.5875232774674115,0.42869070638193724,0.6874550426401037
2023-11-01,0.31540872920183266,0.6045333976368459,0.479107163486344,0.7209312126860432
2023-12-01,0.3162351802564723,0.6218243406726349,0.46902450016554054,0.70694685345714
2024-01-01,0.3247322297955209,0.6399707887049659,0.4837492840791073,0.7094453001457973
2024-02-01,0.3145139813581891,0.611451398135819,0.41729012400284965,0.6639512587582457
2024-03-01,0.31215798239352843,0.6117059243397573,0.41418940529617393,0.6451202940449642
2024-04-01,0.3047725369801842,0.604242255093497,0.43087728175298146,0.6607604465066965
