date,keyword,value
2022-05-01,restoran,100
2022-04-10,restoran,88
2022-04-17,restoran,87
2023-04-02,restoran,81
2022-04-24,restoran,79
2023-04-23,restoran,78
2023-04-09,restoran,74
2021-12-26,restoran,74
2022-12-25,restoran,73
2023-12-24,restoran,73
